[2025-06-12T17:35:47.402+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: weather_data_pipeline.start_kafka_producer manual__2025-06-12T17:35:46.343585+00:00 [queued]>
[2025-06-12T17:35:47.419+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: weather_data_pipeline.start_kafka_producer manual__2025-06-12T17:35:46.343585+00:00 [queued]>
[2025-06-12T17:35:47.420+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 3
[2025-06-12T17:35:47.442+0000] {taskinstance.py:2192} INFO - Executing <Task(BashOperator): start_kafka_producer> on 2025-06-12 17:35:46.343585+00:00
[2025-06-12T17:35:47.449+0000] {standard_task_runner.py:60} INFO - Started process 194 to run task
[2025-06-12T17:35:47.458+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'weather_data_pipeline', 'start_kafka_producer', 'manual__2025-06-12T17:35:46.343585+00:00', '--job-id', '51', '--raw', '--subdir', 'DAGS_FOLDER/data_pipeline_dag.py', '--cfg-path', '/tmp/tmpeo5pxoox']
[2025-06-12T17:35:47.465+0000] {standard_task_runner.py:88} INFO - Job 51: Subtask start_kafka_producer
[2025-06-12T17:35:47.561+0000] {task_command.py:423} INFO - Running <TaskInstance: weather_data_pipeline.start_kafka_producer manual__2025-06-12T17:35:46.343585+00:00 [running]> on host 5df86bab078c
[2025-06-12T17:35:47.761+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='Daniel' AIRFLOW_CTX_DAG_ID='weather_data_pipeline' AIRFLOW_CTX_TASK_ID='start_kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2025-06-12T17:35:46.343585+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-12T17:35:46.343585+00:00'
[2025-06-12T17:35:47.764+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-06-12T17:35:47.766+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python3 /opt/***/scripts/real_api_producer.py']
[2025-06-12T17:35:47.780+0000] {subprocess.py:86} INFO - Output:
[2025-06-12T17:39:58.303+0000] {subprocess.py:93} INFO - 🔄 Sending real Indian weather data to Kafka...
[2025-06-12T17:39:58.304+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Delhi', 'temperature': 32.7, 'windspeed': 7.2, 'timestamp': '2025-06-12T17:35'}
[2025-06-12T17:39:58.305+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Mumbai', 'temperature': 30.3, 'windspeed': 11.8, 'timestamp': '2025-06-12T17:35'}
[2025-06-12T17:39:58.305+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Bangalore', 'temperature': 22.0, 'windspeed': 8.9, 'timestamp': '2025-06-12T17:35'}
[2025-06-12T17:39:58.305+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Chennai', 'temperature': 28.9, 'windspeed': 10.4, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.306+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Kolkata', 'temperature': 28.7, 'windspeed': 5.2, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.306+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Hyderabad', 'temperature': 25.4, 'windspeed': 6.1, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.306+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Ahmedabad', 'temperature': 33.5, 'windspeed': 8.3, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.306+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Pune', 'temperature': 25.9, 'windspeed': 8.7, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.306+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Jaipur', 'temperature': 36.2, 'windspeed': 4.7, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.307+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Lucknow', 'temperature': 33.3, 'windspeed': 7.7, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.307+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Kanpur', 'temperature': 33.9, 'windspeed': 9.7, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.307+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Nagpur', 'temperature': 30.9, 'windspeed': 5.5, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.307+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Indore', 'temperature': 31.2, 'windspeed': 8.2, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.307+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Surat', 'temperature': 29.8, 'windspeed': 14.3, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.307+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Bhopal', 'temperature': 32.8, 'windspeed': 11.3, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.308+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Patna', 'temperature': 32.7, 'windspeed': 7.2, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.308+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Ludhiana', 'temperature': 32.6, 'windspeed': 11.3, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.308+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Agra', 'temperature': 33.5, 'windspeed': 9.0, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.308+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Varanasi', 'temperature': 34.5, 'windspeed': 9.0, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.308+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Madurai', 'temperature': 28.4, 'windspeed': 9.3, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.308+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Coimbatore', 'temperature': 23.7, 'windspeed': 16.4, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.309+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Visakhapatnam', 'temperature': 28.6, 'windspeed': 1.8, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.309+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Ranchi', 'temperature': 26.2, 'windspeed': 5.1, 'timestamp': '2025-06-12T17:36'}
[2025-06-12T17:39:58.309+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Bhubaneswar', 'temperature': 28.0, 'windspeed': 2.9, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.309+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Guwahati', 'temperature': 30.9, 'windspeed': 4.0, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.309+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Delhi', 'temperature': 32.7, 'windspeed': 7.2, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.310+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Mumbai', 'temperature': 30.3, 'windspeed': 11.8, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.310+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Bangalore', 'temperature': 22.0, 'windspeed': 8.9, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.310+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Chennai', 'temperature': 28.9, 'windspeed': 10.4, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.310+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Kolkata', 'temperature': 28.7, 'windspeed': 5.2, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.310+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Hyderabad', 'temperature': 25.4, 'windspeed': 6.1, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.311+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Ahmedabad', 'temperature': 33.5, 'windspeed': 8.3, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.311+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Pune', 'temperature': 25.9, 'windspeed': 8.7, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.311+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Jaipur', 'temperature': 36.2, 'windspeed': 4.7, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.311+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Lucknow', 'temperature': 33.3, 'windspeed': 7.7, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.311+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Kanpur', 'temperature': 33.9, 'windspeed': 9.7, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.311+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Nagpur', 'temperature': 30.9, 'windspeed': 5.5, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.312+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Indore', 'temperature': 31.2, 'windspeed': 8.2, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.312+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Surat', 'temperature': 29.8, 'windspeed': 14.3, 'timestamp': '2025-06-12T17:37'}
[2025-06-12T17:39:58.312+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Bhopal', 'temperature': 32.8, 'windspeed': 11.3, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.312+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Patna', 'temperature': 32.7, 'windspeed': 7.2, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.312+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Ludhiana', 'temperature': 32.6, 'windspeed': 11.3, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.313+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Agra', 'temperature': 33.5, 'windspeed': 9.0, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.313+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Varanasi', 'temperature': 34.5, 'windspeed': 9.0, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.313+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Madurai', 'temperature': 28.4, 'windspeed': 9.3, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.313+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Coimbatore', 'temperature': 23.7, 'windspeed': 16.4, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.313+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Visakhapatnam', 'temperature': 28.6, 'windspeed': 1.8, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.314+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Ranchi', 'temperature': 26.2, 'windspeed': 5.1, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.314+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Bhubaneswar', 'temperature': 28.0, 'windspeed': 2.9, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.314+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Guwahati', 'temperature': 30.9, 'windspeed': 4.0, 'timestamp': '2025-06-12T17:38'}
[2025-06-12T17:39:58.314+0000] {subprocess.py:93} INFO - ✅ Sent: {'location': 'Delhi', 'temperature': 32.7, 'windspeed': 7.2, 'timestamp': '2025-06-12T17:38'}
